id,truckid,driverid,event,latitude,longitude,city,state,velocity,event_ind,idling_ind
6,A50,A50,normal,38.40765,13,Occidental,California,0,0,1
7,A51,A51,normal,37.639097,0,Modesto,California,0,0,1
8,A19,A19,normal,37.962146,-122.345526,San Pablo,California,0,0,1
10,A92,A92,normal,37.484938,-119.966284,Mariposa,California,0,0,1
18,A10,A10,normal,40.761243,-123.994778,Kneeland,California,0,0,1
21,A65,A65,normal,37.484938,-119.966284,Mariposa,California,0,0,1
23,A94,A94,unsafe following distance,37.941325,-122.484704,San Quentin,California,0,1,1
26,A72,A72,normal,37.957702,-121.29078,Stockton,California,0,0,1
37,A56,A56,normal,34.435829,-119.827639,Goleta,California,0,0,1
51,A100,A100,normal,34.136119,-117.865339,Glendora,California,0,0,1
61,A22,A22,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1
62,A16,A16,normal,39.017396,-122.057748,Arbuckle,California,0,0,1
65,A39,A39,normal,39.409608,-123.355566,Willits,California,0,0,1
70,A35,A35,normal,39.409608,-123.355566,Willits,California,0,0,1
74,A99,A99,normal,34.500831,-117.185876,Apple Valley,California,0,0,1
76,A16,A16,normal,37.005782,-121.568275,Gilroy,California,0,0,1
99,A68,A68,normal,34.354166,-119.059271,Santa Paula,California,0,0,1
103,A88,A88,normal,40.563763,-122.238892,Palo Cedro,California,0,0,1
105,A79,A79,normal,36.471865,-6.196595,San Fernando,California,0,0,1
107,A7,A7,normal,39.409608,-123.355566,Willits,California,0,0,1
108,A31,A31,normal,39.409608,-123.355566,Willits,California,0,0,1
114,A21,A21,normal,38.752124,-121.288006,Roseville,California,0,0,1
119,A52,A52,normal,37.941325,-122.484704,San Quentin,California,0,0,1
123,A39,A39,normal,38.716687,-121.364422,Antelope,California,0,0,1
126,A33,A33,normal,34.106676,-117.806726,San Dimas,California,0,0,1
135,A72,A72,normal,38.161861,-121.611621,Isleton,California,0,0,1
139,A35,A35,normal,37.968812,-121.668008,Knightsen,California,0,0,1
141,A68,A68,normal,33.743076,-117.109197,Homeland,California,0,0,1
148,A96,A96,normal,37.962146,-122.345526,San Pablo,California,0,0,1
158,A76,A76,normal,37.77493,-122.419416,San Francisco,California,0,0,1
159,A61,A61,normal,39.409608,-123.355566,Willits,California,0,0,1
165,A12,A12,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1
166,A90,A90,normal,38.716687,-121.364422,Antelope,California,0,0,1
168,A65,A65,normal,33.663357,-116.310009,La Quinta,California,0,0,1
174,A86,A86,normal,34.019454,-118.491191,Santa Monica,California,0,0,1
175,A78,A78,normal,38.297538,-122.286865,Napa,California,0,0,1
180,A48,A48,normal,37.957702,-121.29078,Stockton,California,0,0,1
181,A8,A8,normal,39.409608,-123.355566,Willits,California,0,0,1
187,A76,A76,normal,40.563763,-122.238892,Palo Cedro,California,0,0,1
190,A71,A71,lane departure,33.683947,-117.794694,Irvine,California,0,1,1
195,A3,A3,normal,38.019366,-122.134132,Martinez,California,0,0,1
198,A100,A100,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1
203,A37,A37,normal,34.435829,-119.827639,Goleta,California,0,0,1
206,A75,A75,normal,36.471865,-6.196595,San Fernando,California,0,0,1
212,A4,A4,normal,34.136119,-117.865339,Glendora,California,0,0,1
226,A91,A91,normal,33.846404,-118.046731,La Palma,California,0,0,1
231,A16,A16,normal,38.716687,-121.364422,Antelope,California,0,0,1
237,A88,A88,normal,36.471865,-6.196595,San Fernando,California,0,0,1
240,A43,A43,normal,39.017396,-122.057748,Arbuckle,California,0,0,1
246,A100,A100,normal,39.409608,-123.355566,Willits,California,0,0,1
252,A32,A32,normal,38.297538,-122.286865,Napa,California,0,0,1
254,A39,A39,normal,37.962146,-122.345526,San Pablo,California,0,0,1
263,A4,A4,normal,34.136119,-117.865339,Glendora,California,0,0,1
